marca,produto,peso_g,preco_brl,preco_por_kg_brl,pontuacao_sca,variedade,processo,origem,tipo,embalagem,certificacoes_diferenciais,posicionamento,referencia
Um Coffee Co,Especial Em Graos,250,65.00,260.00,86.00,Catuai/Mundo Novo,Natural,Brasil,Graos,Pacote valvula,Especialidade / B Corp,Direct trade - cafeterias premium SP/RJ,https://umcoffeeco.com/
Coffee Lab (Isabela Raposeiras),Microlote Selecao,250,82.00,328.00,87.00,Variavel rotativo,Variavel,Brasil (multi-origem),Graos,Pacote valvula,Microlote curado / Cup of Excellence,Curadoria de barista campea mundial,https://www.coffeelab.com.br/
Lucca Cafes Especiais,Microlote Premiado,250,75.00,300.00,87.00,Variavel rotativo,Natural/Fermentado,Brasil (microlote),Graos,Pacote valvula,Microlote / COE,Torrefacao premiada - Curitiba,https://www.luccacafes.com.br/
Four Hundred Coffee (MG),Microlote Fermentado,250,89.00,356.00,87.50,Catuai Amarelo,Fermentacao anaerobia,Cerrado Mineiro,Graos,Pacote valvula,Microlote / Fermentacao especial,Boutique fazenda - perfil exotico,https://fourhundredcoffee.com/
Moka Clube,Microlote do Mes,250,69.00,276.00,86.00,Variavel,Variavel,Brasil (clube assinatura),Graos,Pacote valvula,Microlote rotativo / Assinatura,Clube de assinatura - microlote diferente cada mes,https://mokaclube.com.br/
Cafe Pacamara,Microlote COE,250,98.00,392.00,88.00,Pacamara,Natural,America Central / Brasil,Graos,Pacote valvula,Microlote / COE,Variedade rara Pacamara - boutique,https://www.terresdecafe.com/
Fazenda Rarus (referencia leilao),Geisha Microlote Leilao,100,10000.00,100000.00,92.00,Geisha,Fermentacao a frio 7 dias,Carmo de Minas (MG),Graos,Lata colecionavel,Leilao recorde / Microlote raro,Recorde Brasil - 100g leiloados R$10mil - referencia top,https://exame.com/casual/
Cafe da Giovanna,Especial 85 Pontos Moido,250,42.00,168.00,85.00,Arabica blend,Natural,Sul de Minas,Moido,Pacote valvula,Especialidade,Direto do produtor - entrada acessivel,https://cafedagiovanna.com.br/
Cafe da Giovanna,Especial 85 Pontos Em Graos,500,72.00,144.00,85.00,Arabica blend,Natural,Sul de Minas,Graos,Pacote valvula,Especialidade,Direto do produtor - entrada acessivel,https://cafedagiovanna.com.br/
Realcafe Reserva,Edicao Limitada Debona Romao,250,189.00,756.00,90.37,Arabica especial,Natural,Espirito Santo,Graos,Pacote premium,Edicao Limitada / 90+ pontos,Top tier - 90+ pontos - rastreavel produtor,https://loja.realcafereserva.com.br/
Fazenda Diamantina,Especial Em Graos,500,79.00,158.00,85.50,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade / Direto do produtor,Fazenda propria - especialidade entrada,https://www.lojafazendadiamantina.com.br/
Baoba Cafe,Premium Especial Em Graos,500,89.00,178.00,86.00,Arabica blend,Natural,Brasil,Graos,Pacote premium,Especialidade premium,Fazenda Baoba - perfil complexo delicado,https://loja.fazendabaoba.com.br/
Fazenda Santa Lucia,Especial Em Graos,500,75.00,150.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade / Direto do produtor,Fazenda propria - entrada,https://loja.fazendasantalucia.com.br/
Outlet do Cafe (Dipa Farm),Especial 85 pts,250,39.00,156.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Outlet - melhor custo beneficio 85 pts,https://www.outletdocafe.com.br/
Dutra Cafes,Microlote Em Graos,250,68.00,272.00,87.00,Arabica blend,Natural,Matas de Minas (MG),Graos,Pacote valvula,Microlote / Organico,Familia torrefadora - sustentavel,https://loja.cafedutra.com.br/
Dutra Cafes,Especial Em Graos,500,89.00,178.00,85.00,Arabica blend,Natural,Matas de Minas (MG),Graos,Pacote valvula,Especialidade,Familia torrefadora - 500g,https://www.buscacafe.com.br/produto/cafe-dutra-especial-graos-500g
Dutra Cafes,Organico Especial Moido,250,59.00,236.00,85.00,Arabica blend,Natural,Matas de Minas (MG),Moido,Pacote valvula,Organico Certificado,Organico especialidade - moido,https://loja.cafedutra.com.br/product/organico-especial-moido/
Cafe Fazenda Klem,Organico Sabia Microlote Moido,250,69.00,276.00,86.00,Arara,Natural,Matas de Minas (MG),Moido,Pacote valvula,Organico / Microlote,Rapadura/caramelo/doce de leite - 1200m altitude,https://www.buscacafe.com.br/produto/cafe-fazenda-klem-organico-sabia-86-pontos-moido-250g
Cafe Fazenda Klem,Canario Microlote Em Graos,250,72.00,288.00,86.50,Arara,Natural,Matas de Minas (MG),Graos,Pacote valvula,Organico / Microlote,Microlote Canario - torra clara/media,https://buscacafe.com.br/produto/cafe-klem-organico-canario-microlote-graos-250g
Cafe Lobo do Serrote,Catigua 1 Microlote,250,52.00,208.00,86.00,Arabica,Natural,Sul de Minas,Moido,Pacote valvula,Organico / Microlote / 100% Arabica,Doce / melaco / fruta leve / pralinê,https://www.cafelobodoserrote.com.br/
Cafe Lobo do Serrote,Arara 4 Fermentacao Natural,250,58.00,232.00,86.50,Arara,Fermentacao natural,Sul de Minas,Graos,Pacote valvula,Organico / Microlote premiado,Rum / licor frutas vermelhas / corpo cheio,https://www.cafelobodoserrote.com.br/cafe-lobo-do-serrote-fermentacao-natural/
Cafeles,Prima Qualita Mulheres 87.5 pts,250,79.00,316.00,87.50,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Microlote / Mulheres produtoras,Iniciativa mulheres no cafe - perfil refinado,https://www.cafeles.com.br/
Cafeles,Prima Qualita Especialissimo 87.5 pts,250,82.00,328.00,87.50,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Microlote / Especialissimo,Top da loja - 87.5 pts moido,https://www.cafeles.com.br/
Cafeles,Unique Organico Andradas,250,65.00,260.00,86.00,Arabica,Natural,Andradas (MG) regiao vulcanica,Moido,Pacote valvula,Organico Certificado / Regiao vulcanica,Solo vulcanico - perfil unico,https://www.cafeles.com.br/cafe-moido/cafe-especial-gourmet-torrado-e-moido-unique-organico-250g
Casa Branca Organica,Gourmet Especial Moido Intenso,500,69.90,139.80,85.00,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Organico Certificado,Organico - perfil intenso - 500g moido,https://www.casabrancaorganica.com.br/cafe-organico-especial-intenso-moido
Eos Cafes Especiais,Especial Em Graos,250,49.00,196.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Boutique - entrada classica,https://www.eoscafes.com.br/cafe-especial-graos-250g
Eos Cafes Especiais,Especial Moido,250,49.00,196.00,85.00,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Especialidade,Boutique - entrada classica moido,https://www.eoscafes.com.br/cafe-especial-moido-250g
Gesha Cafe,Blend da Casa Em Graos,500,89.00,178.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Blend casa - homenagem Geisha - 500g,https://www.gesha.com.br/cafes-especiais/cafe-especial-blend-da-casa-500g
Fazenda Camocim,Cafe Jacu Biodinamico,250,98.00,392.00,86.00,Catucai Acu,Natural Jacu,Pedra Azul (ES),Graos,Pacote premium,Biodinamico / Demeter / Cup of Excellence,Cafe Jacu - processamento natural unico - biodinamico,https://www.cafecamocim.com.br/
Fazenda Camocim,Especial Em Graos,250,72.00,288.00,87.00,Catuai Vermelho,Natural,Pedra Azul (ES) 1300-1400m,Graos,Pacote premium,Biodinamico / Organico,Alta altitude - biodinamico - premiado,https://www.cafecamocim.com.br/
Coffee & Joy,Ritmo Especial,250,49.00,196.00,85.50,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Direto do produtor - rastreavel,https://coffeeandjoy.com.br/
Coffee & Joy,Microlote Premiado,250,79.00,316.00,87.00,Variavel,Variavel,Brasil,Graos,Pacote valvula,Microlote / Premiado,Microlote rotativo,https://coffeeandjoy.com.br/coffees
ia Cafe,Especial Torrado e Moido,250,42.00,168.00,84.50,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Especialidade,Entrada acessivel,https://iacafe.com.br/
Cafe Caipirao,Classico Moido,500,69.00,138.00,85.00,Arabica blend,Natural,Sul de Minas,Moido,Pacote valvula,Especialidade,Tradicional caipira - 500g moido,https://www.cafecaipirao.com.br/
Cafe Caipirao,Microlote Moca Caramelo,250,55.00,220.00,86.00,Moca,Natural,Sul de Minas,Moido,Pacote valvula,Microlote,Grao moca - perfil caramelo,https://www.cafecaipirao.com.br/qdsgqroqg-microlote-moca-caramelo-250g-moido
Sou Coffee,Sitio Sao Joaquim,250,58.00,232.00,86.00,Catuai Amarelo,Natural,Mantiqueira de Minas,Graos,Pacote valvula,Microlote / Rastreavel,Produtor identificado - Mantiqueira,https://soucoffee.com.br/
Native (Tonellos),Organico Em Graos,500,79.00,158.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Organico Certificado,Maior organico Brasil - escala 500g,https://www.tonellos.com.br/organicos/cafe-organico-em-graos-native-500g
Isso e Cafe (FAF),Roastery Especial,250,65.00,260.00,86.00,Obata/Paraiso,Natural,Mococa (SP) via FAF,Graos,Pacote valvula,Organico / Direct trade,Roastery FAF - cafeteria Sao Paulo,https://www.issoecafe.com/
Get Coffee,Especial Intenso Em Graos,500,69.00,138.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Blend intenso - 500g em graos,https://www.getcoffeeshop.com.br/products/cafe-especial-2-pacotes-250g-500g-intenso
Get Coffee,Especial Intenso Moido,250,39.00,156.00,85.00,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Especialidade,Blend intenso - 250g moido,https://www.getcoffeeshop.com.br/products/cafe-especial-250g-intenso
Grao Cafe,Selecao Premium Moido,250,55.00,220.00,86.00,Arabica blend,Natural,Brasil,Moido,Pacote valvula,Especialidade selecionada,Curadoria de cafes premium do Brasil,https://www.graocafe.com.br/
Grao Nativo,Gourmet Especial Em Graos,250,45.00,180.00,84.50,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Gourmet entrada,https://cafegraonativo.com/product/gourmet-especial-250g/
Fruttato Coffees,Assinatura Especial Moido,250,52.00,208.00,85.00,Variavel,Natural,Brasil,Moido,Pacote valvula,Especialidade / Assinatura,Clube assinatura - 250g moido,https://www.fruttatocoffees.com.br/
Cafe da Fazenda Sao Caetano,Especial 86 pts Em Graos,500,99.00,198.00,86.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade / Premiado,86 pts em 500g graos - direto fazenda,https://www.mercadolivre.com.br/cafe-especial-e-premiado-86-pontos-em-gros-500g/p/MLB27218445
Wolff Cafe,Especial Em Graos,250,65.00,260.00,86.00,Arabica blend,Natural,Sul de Minas,Graos,Pacote valvula,Especialidade,Torrefacao familiar - perfil classico,https://www.wolffcafe.com.br/
Melhor Cafe,Selecao Microlote,250,69.00,276.00,87.00,Variavel,Variavel,Brasil (curadoria),Graos,Pacote valvula,Microlote curado,Loja curadora - filtro por pontuacao 80-90,https://melhorcafe.com/
Puro Cafe,Morning Harvest Microlote,500,99.00,198.00,86.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Microlote,Microlote espresso - 500g graos,https://www.lojapurocafe.com.br/microlote
