marca,produto,peso_g,preco_brl,preco_por_kg_brl,pontuacao_sca,variedade,processo,origem,tipo,embalagem,certificacoes_diferenciais,posicionamento,referencia
Capricornio Coffees,Especial Tropico de Capricornio,250,58.00,232.00,86.00,Blend,Natural,Norte Pioneiro Parana,Graos,Pacote valvula,Especialidade Parana,Unica regiao no Tropico de Capricornio - terroir distinto,https://loja.cafedoviajante.com.br/cafes/capricornio/
Bourbon Specialty Coffees,Reserva do Patrao,250,62.00,248.00,86.00,Bourbon,Natural,Sul de Minas,Graos,Pacote elegante,Maior exportadora especialidade Brasil,Pioneira specialty Brasil - 450k sacas/ano,https://bourboncoffees.com.br/
Bourbon Specialty Coffees,Cafe Bourbon Vermelho,500,99.00,198.00,86.00,Bourbon Vermelho,Natural,Sul de Minas,Graos,Pacote elegante,Especialidade reconhecida internacional,Linha bandeira - 500g em graos,https://bourboncoffees.com.br/en/home-english/
Ipanema Coffees,Bourbon Premium Em Graos,250,68.00,272.00,86.50,Bourbon,Natural,Alfenas (MG) 800-1200m,Graos,Pacote premium,Rainforest / Direct trade,Fazenda gigante - exportadora referencia mundial,https://tropiccoffee.co.uk/products/brazilian-ipanema-bourbon
Carmo Coffees,Dream Coffees Microlote,250,79.00,316.00,87.00,Arabica,Natural,Carmo de Minas (MG),Graos,Pacote premium,Microlote / Direct trade / COE,13 anos curadoria - dream coffees Carmo de Minas,https://www.carmocoffees.com.br/
Cocarive,Carmo de Minas Cooperativa,250,55.00,220.00,86.00,Bourbon Amarelo,Natural,Carmo de Minas (MG),Graos,Pacote valvula,Cooperativa fundada 1961,Cooperativa pioneira Carmo de Minas,https://www.cocarive.com.br/
King Coffee Co,Super Premium Em Graos,250,69.00,276.00,86.00,Arabica,Natural,Brasil,Graos,Pacote sofisticado,Especialidade / Super premium,Boutique selecao - frete gratis acima R$200,https://lojakingcoffee.com.br/loja/
Encantos do Cafe,Cafe RARO 250g,250,89.00,356.00,87.50,Geisha/Pacamara raros,Variavel,Brasil/Importado,Graos,Pacote premium,Microlote raro / Q Grader / Sob demanda,Cafe RARO - variedades raras - torrado sob demanda,https://loja.encantosdocafe.com.br/cafe-raro-250g
Encantos do Cafe,Microlote Selecao Em Graos,500,98.00,196.00,86.00,Arabica,Natural,Brasil,Graos,Pacote valvula,Microlote / Sob demanda,Selecao classica - 500g graos,https://loja.encantosdocafe.com.br/cafe
Apoena Cafes,Mantiqueira Vulcanica Microlote,250,72.00,288.00,87.00,Arabica,Natural,Mantiqueira Vulcanica (MG),Graos,Pacote valvula,Q Grader / Micro torrefacao / Agronomo,Solo vulcanico - terroir unico Mantiqueira,https://www.rotasdocafe.sp.gov.br/rotas-cafe-sp/as_rotas/mantiqueira_vulcanica/apoena%20cafes%20especiais%20e%20micro%20torrefa%C3%A7ao
COR Cafe,Roastery Selecao Jardins,250,65.00,260.00,86.00,Arabica,Natural,Brasil,Graos,Pacote design,Direct trade / Cafeteria propria SP Jardins,Cafeteria boutique Jardins - torrefacao propria,https://jardinscafe.com/torrefacao-exportacao-cafes-especiais/
Lucca Torrefacao,Microlotes Selecao Curitiba,250,75.00,300.00,87.00,Arabica,Variavel,Brasil (microlote),Graos,Pacote valvula,Microlote / Premiada nacional,Torrefacao premiada Curitiba - fazendas mais prestigiosas,https://luccatorrefacao.com.br/
Unique Cafes,Especialidade Em Graos,500,89.00,178.00,85.00,Arabica,Natural,Brasil,Graos,Pacote valvula,Especialidade / 80+ pontos,Torrefacao grao e moido - especialidade,https://uniquecafes.com.br/
True Coffee,Artesanal Torrefacao,250,55.00,220.00,85.00,Arabica,Natural,Brasil,Graos,Pacote valvula,Torrefacao artesanal,Torrefacao artesanal - especialidade entrada,https://truecoffeeinc.com.br/cafes/
Rei do Cafe (Santos),Premium Especial Em Graos,500,79.00,158.00,85.00,Arabica,Natural,Brasil,Graos,Pacote tradicional,Casa fundada 1912 / Especialidade,Tradicao Santos 1912 - heritage portuario,https://reidocafe.com.br/
Sabino Torrefacao,Especial 85 pts Em Graos,250,49.00,196.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade 85 pts,Torrefacao pequena - 85 pts entrada,https://www.mercadolivre.com.br/cafe-especial-em-grao--sabino-torrefacao-250g--85-pontos/up/MLBU2985866467
Bertolino,Cafe Especial Bourbon,250,52.00,208.00,85.00,Bourbon,Natural,Brasil,Graos,Pacote valvula,Bourbon especialidade,Bourbon classico - perfil tradicional,https://www.bertolinoiscoffee.com.br/product-page/caf%C3%A9-bourbon
Baden Torrefacao,Especial Bourbon Vermelho,250,55.00,220.00,86.00,Bourbon Vermelho,Natural,Brasil,Graos,Pacote valvula,Microlote Bourbon Vermelho,Torrefacao boutique - Bourbon Vermelho rastreavel,https://loja.badentorrefacao.com.br/cafes-especiais/cafe-especial-bourbon-vermelho
Nossa Casa Cafe,Bourbon Collection Amparo,250,62.00,248.00,86.00,Bourbon,Natural,Amparo (SP),Graos,Pacote valvula,Bourbon Collection / Amparo SP,Boutique paulista interior - Amparo,https://www.nossacasacafe.com.br/cafe-bourbon-collection
Cafe Itaoca,Especial Bourbon Amarelo,250,52.00,208.00,85.50,Bourbon Amarelo,Natural,Brasil,Moido,Pacote valvula,Bourbon Amarelo especial,Bourbon amarelo - notas caramelo,https://www.cafeitaoca.com/product-page/caf%C3%A9-especial-bourbon-amarelo-250g-mo%C3%ADdo
Stockler (importadora),Selecao Premium Single Origin,250,79.00,316.00,87.00,Arabica especial,Variavel,Brasil multi-origem,Graos,Pacote design,Importadora tradicional / Direct trade,Importadora boutique - selecao premium,https://www.cqtcoffees.com/ourcoffees
Mokito,Edicao Limitada Microlote,250,75.00,300.00,87.00,Arabica,Variavel,Brasil,Graos,Pacote design,Microlote / Edicao limitada,Boutique microlote limitado,https://www.terresdecafe.com/
Pato Rei (cafeteria SP),Edicao Berrini Veja 2025,250,72.00,288.00,86.50,Arabica,Natural,Brasil,Graos,Pacote design,Eleito melhor cafeteria SP Veja 2025-2026,Cafeteria premiada Veja - torrefacao propria,https://www.quintoandar.com.br/guias/cidades/cafeterias-em-sao-paulo/
Cafe da Roca,Single Estate Em Graos,500,89.00,178.00,86.00,Arabica,Natural,Brasil,Graos,Pacote valvula,Single estate / Direct trade,Fazenda unica - 500g graos,https://reidocafe.com.br/blogs/news/pontuacao-de-cafes-especiais
Mistico Cafe,Microlote Mantiqueira,250,68.00,272.00,86.50,Arabica,Natural,Mantiqueira (MG),Graos,Pacote valvula,Microlote Mantiqueira,Boutique Mantiqueira - microlote rastreavel,https://www.bestcoffee.guide/
Croce Brothers (Isso e Cafe),Fazenda Ambiental Selecao,250,72.00,288.00,86.50,Obata/Paraiso,Natural,Mococa (SP),Graos,Pacote design,Organico / Direct trade / Felipe Croce,Familia Croce - 5a geracao - referencia organico,https://sprudge.com/isso-e-cafe-sao-paulos-hottest-new-coffee-bar-85849.html
Spirit Origin (HND/USA),Honduras Geisha 91 pts,250,275.00,1100.00,91.00,Geisha,Lavado,Honduras,Graos,Pacote luxo,Cupping 91 pts / Free US shipping,Geisha hondurenha top tier - 91 pts,https://spiritorigincoffee.com/products/geisha
Volcanica (USA),Panama Geisha Reserve,250,225.00,900.00,90.00,Geisha,Lavado,Panama,Graos,Pacote luxo,Geisha Panama / Reserva,Geisha panamenha classica - referencia mundial,https://volcanicacoffee.com/collections/geisha-coffee
Paradise Roasters (USA),Kona Geisha Microlote,250,275.00,1100.00,90.00,Geisha,Lavado,Kona (Hawaii),Graos,Pacote luxo,Geisha rara Kona / Microlote,Geisha hawaiana - microlote raro,https://paradiseroasters.com/collections/geisha-coffee
Bean and Bean (USA),Lamastus Esmeralda Gesha,250,295.00,1180.00,91.00,Geisha,Lavado,Panama (Boquete),Graos,Pacote luxo,Best of Panama / Lamastus Esmeralda,Vencedores Best of Panama - top mundial,https://beannbeancoffee.com/collections/gesha-coffee
Father Coffee (ZAF),Single Estate Microlote,250,98.00,392.00,87.00,Arabica,Variavel,Africa multi-origem,Graos,Pacote design,Direct Trade / 85+ pts garantido,Roastery sul-africano - 50+ cafes/ano,https://www.father.coffee/collections/coffee
Cuatro Caminos (CRI),Geisha Natural Single Estate,250,165.00,660.00,89.00,Geisha,Natural,Costa Rica,Graos,Pacote premium,Single Estate / Costa Rica Geisha,Fazenda propria Costa Rica - Geisha natural,https://us.cuatrocaminoscoffee.com/shop/single-estate-geisha-natural-specialty-coffee/
Spotted Cow (regenerativo),Cafe Regenerativo Microlote,250,75.00,300.00,86.50,Arabica,Natural,Brasil,Graos,Pacote ecologico,Agricultura regenerativa / Carbon negative,Regenerativo - foco sequestro carbono,https://www.indexbox.io/blog/brazils-premium-robusta-from-cheap-filler-to-specialty-coffee/
Cafes Cravo e Canela,Especial Bourbon Mulheres,250,58.00,232.00,86.00,Bourbon,Natural,Sul de Minas,Graos,Pacote design feminino,Mulheres no cafe / Especialidade,Iniciativa mulheres produtoras - empoderamento,https://reidocafe.com.br/
Cafes Vista Linda,Single Estate Premium,500,98.00,196.00,86.00,Catuai,Natural,Mantiqueira (MG),Graos,Pacote valvula,Single Estate / Premium,Fazenda unica Mantiqueira - 500g graos,https://www.graocafe.com.br/nossos-cafes.html
Carraro (ITA),Espresso Premium Importado,250,85.00,340.00,85.00,Blend italiano,Variavel,Multi-origem,Graos,Lata premium,Heritage italiana / Importado,Heritage italiana - lata colecionavel - direct comparable Zerbinatti,https://reidocafe.com.br/
Lavazza Tierra (ITA),Bio Organic Selection,250,79.00,316.00,84.50,Arabica blend,Natural,Multi-origem,Graos,Lata reciclavel,Organico Certificado / Rainforest / Importado,Italiana organica - heritage - benchmark global,https://reidocafe.com.br/
Illy Arabica Selection (ITA),Brasil Single Origin,250,79.00,316.00,85.00,Arabica,Lavado,Brasil,Graos,Lata pressurizada,Heritage italiana / Lata pressurizada,Heritage italiana premium - lata pressurizada,https://reidocafe.com.br/
